,too_low,fine,too_high
too_low,0.727942851781861,0.14162947475640972,0.13042767346172918
fine,0.3597016797149482,0.46001070284573153,0.18028761743932023
too_high,0.3132379875026934,0.2777499461322991,0.40901206636500753
