,too_low,fine,too_high
too_low,0.8558160106147722,0.08712958867757628,0.057054400707651484
fine,0.31906781851496574,0.5770856668026062,0.10384651468242799
too_high,0.19689183365653953,0.11932234432234431,0.6837858220211162
